Sentença;Entidade 1;Tipo Entidade 1;Relacao;Entidade 2;Tipo Entidade 2
Realizado no Lounge Plant , o debate contou com a participação de Percival Lucena , pesquisador da IBM , Fernando Martins , conselheiro da Jacto e de startups AgTech , e Rodrigo Iafelice dos Santos , presidente da Ennexas Agribusiness .;Ennexas Agribusiness;ORG;presidente de;Rodrigo Iafelice dos Santos;PER
O Lounge Plant contou com patrocínio de SAP , Clube Agro e Azul Linhas Aéreas .;Lounge Plant;ORG;contou com patrocínio de;SAP;ORG
O Lounge Plant contou com patrocínio de SAP , Clube Agro e Azul Linhas Aéreas .;Lounge Plant;ORG;contou com patrocínio de;Clube Agro e Azul Linhas Aéreas;ORG
O Lounge Plant contou com patrocínio de SAP , Clube Agro e Azul Linhas Aéreas .;SAP;ORG;;Clube Agro e Azul Linhas Aéreas;ORG
As fintechs interessadas em apresentar suas soluções ao público que estará presente na 12ª edição do CONCRED , o maior congresso cooperativista da América Latina , ganharam mais alguns dias para garantir a participação .;CONCRED;ORG;o maior congresso cooperativista da;América Latina;PLC
No próximo domingo , dia 23 de setembro termina o prazo de inscrições para o espaço FintechCoopLab , iniciativa coordenada pelo FintechLab e pelo Torq em parceria com a Confebras , realizadora do evento .;FintechLab;ORG;;Torq;ORG
No próximo domingo , dia 23 de setembro termina o prazo de inscrições para o espaço FintechCoopLab , iniciativa coordenada pelo FintechLab e pelo Torq em parceria com a Confebras , realizadora do evento .;FintechLab;ORG;em parceria com;Confebras;ORG
No próximo domingo , dia 23 de setembro termina o prazo de inscrições para o espaço FintechCoopLab , iniciativa coordenada pelo FintechLab e pelo Torq em parceria com a Confebras , realizadora do evento .;Torq;ORG;em parceria com;Confebras;ORG
O CONCRED será realizado entre os dias 21 e 23 de novembro , em Florianópolis (SC) .;CONCRED;ORG;em;Florianópolis;PLC
Segundo Mazieiro , todo o processo é feito por meio de tokens (e-mail , SMS e chats ) e a Planetun trabalha em integrações e chatbots que vão permitir ao cliente solicitar o token por diversos canais de comunicação com as seguradoras .;Planetun;ORG;;Mazieiro;PER
A insurtech Ciclic recebeu um aporte de capital no valor de R$ 20,2 5 milhões de reais da BB Seguridade , braço de seguros e previdência do Banco do Brasil .;Ciclic;ORG;recebeu um aporte de capital no valor de R$ 20,2 5 milhões de reais de;BB Seguridade;ORG
A insurtech Ciclic recebeu um aporte de capital no valor de R$ 20,2 5 milhões de reais da BB Seguridade , braço de seguros e previdência do Banco do Brasil .;Ciclic;ORG;;Banco do Brasil;ORG
A insurtech Ciclic recebeu um aporte de capital no valor de R$ 20,2 5 milhões de reais da BB Seguridade , braço de seguros e previdência do Banco do Brasil .;BB Seguridade;ORG;braço de seguros e previdência de;Banco do Brasil;ORG
Com o investimento , a BB Seguridade assumirá participação na insurtech , que se dará por meio da BB Corretora de Seguros .;BB Seguridade;ORG;assumirá participação na insurtech;BB Corretora de Seguros;ORG
Com a proposta de fazer uso da tecnologia para inovar na gestão de recebíveis para agroindústrias , distribuidores de insumos agrícolas , cooperativas e tradings , a GIRA (Gestã o Integrada de Recebíveis do Agronégócio ) acaba de receber um aporte do fundo Venture Brasil Central , gerido pela Cedro Capital .;GIRA (Gestã o Integrada de Recebíveis do Agronégócio;ORG;acaba de receber um aporte de;Venture Brasil Central;ORG
Com a proposta de fazer uso da tecnologia para inovar na gestão de recebíveis para agroindústrias , distribuidores de insumos agrícolas , cooperativas e tradings , a GIRA (Gestã o Integrada de Recebíveis do Agronégócio ) acaba de receber um aporte do fundo Venture Brasil Central , gerido pela Cedro Capital .;GIRA (Gestã o Integrada de Recebíveis do Agronégócio;ORG;;Cedro Capital;ORG
Com a proposta de fazer uso da tecnologia para inovar na gestão de recebíveis para agroindústrias , distribuidores de insumos agrícolas , cooperativas e tradings , a GIRA (Gestã o Integrada de Recebíveis do Agronégócio ) acaba de receber um aporte do fundo Venture Brasil Central , gerido pela Cedro Capital .;Venture Brasil Central;ORG;gerido por;Cedro Capital;ORG
O FintechLab , o Torq e a Confederação Brasileira das Cooperativas de Crédito (Confebras) , acabam de anunciar a lista das startups financeiras que irão apresentar suas soluções para o público presente na 12ª edição do CONCRED , o maior congresso cooperativista da América Latina .;FintechLab;ORG;;Torq;ORG
O FintechLab , o Torq e a Confederação Brasileira das Cooperativas de Crédito (Confebras) , acabam de anunciar a lista das startups financeiras que irão apresentar suas soluções para o público presente na 12ª edição do CONCRED , o maior congresso cooperativista da América Latina .;FintechLab;ORG;;Confederação Brasileira das Cooperativas de Crédito (Confebras);ORG
O FintechLab , o Torq e a Confederação Brasileira das Cooperativas de Crédito (Confebras) , acabam de anunciar a lista das startups financeiras que irão apresentar suas soluções para o público presente na 12ª edição do CONCRED , o maior congresso cooperativista da América Latina .;FintechLab;ORG;;América Latina;PLC
O FintechLab , o Torq e a Confederação Brasileira das Cooperativas de Crédito (Confebras) , acabam de anunciar a lista das startups financeiras que irão apresentar suas soluções para o público presente na 12ª edição do CONCRED , o maior congresso cooperativista da América Latina .;Torq;ORG;;Confederação Brasileira das Cooperativas de Crédito (Confebras);ORG
O FintechLab , o Torq e a Confederação Brasileira das Cooperativas de Crédito (Confebras) , acabam de anunciar a lista das startups financeiras que irão apresentar suas soluções para o público presente na 12ª edição do CONCRED , o maior congresso cooperativista da América Latina .;Torq;ORG;;América Latina;PLC
O FintechLab , o Torq e a Confederação Brasileira das Cooperativas de Crédito (Confebras) , acabam de anunciar a lista das startups financeiras que irão apresentar suas soluções para o público presente na 12ª edição do CONCRED , o maior congresso cooperativista da América Latina .;Confederação Brasileira das Cooperativas de Crédito (Confebras);ORG;;América Latina;PLC
Os clientes podem ganhar até 50% de desconto em lojas parceiras , como , por exemplo , Netshoes , Zattini , Beer.com.br , Vinho Fácil , entre outras , Além das parcerias , a fintech também aumentará o desconto oferecido para quem antecipar suas compras parceladas , podendo chegar até 5% do valor do produto para quem comprar em 12x .;Netshoes;ORG;;Zattini;ORG
Os clientes podem ganhar até 50% de desconto em lojas parceiras , como , por exemplo , Netshoes , Zattini , Beer.com.br , Vinho Fácil , entre outras , Além das parcerias , a fintech também aumentará o desconto oferecido para quem antecipar suas compras parceladas , podendo chegar até 5% do valor do produto para quem comprar em 12x .;Netshoes;ORG;;Beer.com.br;ORG
Os clientes podem ganhar até 50% de desconto em lojas parceiras , como , por exemplo , Netshoes , Zattini , Beer.com.br , Vinho Fácil , entre outras , Além das parcerias , a fintech também aumentará o desconto oferecido para quem antecipar suas compras parceladas , podendo chegar até 5% do valor do produto para quem comprar em 12x .;Netshoes;ORG;;Vinho Fácil;ORG
Os clientes podem ganhar até 50% de desconto em lojas parceiras , como , por exemplo , Netshoes , Zattini , Beer.com.br , Vinho Fácil , entre outras , Além das parcerias , a fintech também aumentará o desconto oferecido para quem antecipar suas compras parceladas , podendo chegar até 5% do valor do produto para quem comprar em 12x .;Zattini;ORG;;Beer.com.br;ORG
Os clientes podem ganhar até 50% de desconto em lojas parceiras , como , por exemplo , Netshoes , Zattini , Beer.com.br , Vinho Fácil , entre outras , Além das parcerias , a fintech também aumentará o desconto oferecido para quem antecipar suas compras parceladas , podendo chegar até 5% do valor do produto para quem comprar em 12x .;Zattini;ORG;;Vinho Fácil;ORG
Os clientes podem ganhar até 50% de desconto em lojas parceiras , como , por exemplo , Netshoes , Zattini , Beer.com.br , Vinho Fácil , entre outras , Além das parcerias , a fintech também aumentará o desconto oferecido para quem antecipar suas compras parceladas , podendo chegar até 5% do valor do produto para quem comprar em 12x .;Beer.com.br;ORG;;Vinho Fácil;ORG
O “Sebrae like a Farmer” faz parte da programação do Agrobit Brasil , evento criado para integrar produtores e empresários do agronegócio com soluções tecnológicas e inovadoras disponíveis e capazes de contribuir com o desafio de aumentar a produtividade e rentabilidade do agronegócio .;“Sebrae;ORG;;Farmer”;ORG
O “Sebrae like a Farmer” faz parte da programação do Agrobit Brasil , evento criado para integrar produtores e empresários do agronegócio com soluções tecnológicas e inovadoras disponíveis e capazes de contribuir com o desafio de aumentar a produtividade e rentabilidade do agronegócio .;“Sebrae like a Farmer”;ORG;faz parte da programação de;Agrobit Brasil;ORG
O “Sebrae like a Farmer” faz parte da programação do Agrobit Brasil , evento criado para integrar produtores e empresários do agronegócio com soluções tecnológicas e inovadoras disponíveis e capazes de contribuir com o desafio de aumentar a produtividade e rentabilidade do agronegócio .;Farmer”;ORG;;Agrobit Brasil;ORG
E os beneficiados desse casamento seremos todos nós , principalmente o consumidor , escreve Francisco Jardim , da SP Ventures .;SP Ventures;ORG;de;Francisco Jardim;PER
Estamos nas garras de uma revolução de fintechs e 2019 será um ano crucial , com desenvolvimentos sísmicos que variam do tumulto do Brexit ao início da GDPR , da implementação do open banking , também conhecida como PSD2 , e a evolução contínua dos serviços baseados em blockchain .;GDPR;ORG;ao início de;Brexit;PLC
Trussle Em busca de reformular o setor de serviços de corretagem e de hipoteca está a Trussle .;Trussle;ORG;;Trussle;PLC
Monzo Recém integrante do clube de unicórnios , a Monzo é a próxima da lista das melhores startups de tecnologia financeira para se observar em 2019 .;Monzo;ORG;;Monzo;PER
Agora , com mais de um milhão de clientes e uma avaliação superior a £ 1 bilhão , a Monzo Em 2019 , a Finestra acredita que a Monzo começa a dar passos no sentido de se tornar lucrativa pela primeira vez .;Monzo;ORG;acredita que a ;Finestra;ORG
Agora , com mais de um milhão de clientes e uma avaliação superior a £ 1 bilhão , a Monzo Em 2019 , a Finestra acredita que a Monzo começa a dar passos no sentido de se tornar lucrativa pela primeira vez .;Monzo;ORG;;Monzo;PER
Agora , com mais de um milhão de clientes e uma avaliação superior a £ 1 bilhão , a Monzo Em 2019 , a Finestra acredita que a Monzo começa a dar passos no sentido de se tornar lucrativa pela primeira vez .;Finestra;ORG;acredita que a;Monzo;PER
2019 deve ser um grande ano para a TrueLayer , com mais startups em busca de ter as vantagens do open banking e de potenciais novos mercados europeus para entrar em muitos mais negócios que devem liderar o caminho da TrueLayer .;TrueLayer;ORG;;TrueLayer;ORG
A iniciativa , da Money Cloud junto ao Instituto Banco da Periferia , começa com um piloto Maricá (RJ) , onde milhares de clientes já contam com serviços completos de conta digital , além de pagamentos nos pontos comerciais credenciados .;Money Cloud;ORG;junto ao;Instituto Banco da Periferia;ORG
A iniciativa , da Money Cloud junto ao Instituto Banco da Periferia , começa com um piloto Maricá (RJ) , onde milhares de clientes já contam com serviços completos de conta digital , além de pagamentos nos pontos comerciais credenciados .;Money Cloud;ORG;começa com um piloto;Maricá;ORG
A iniciativa , da Money Cloud junto ao Instituto Banco da Periferia , começa com um piloto Maricá (RJ) , onde milhares de clientes já contam com serviços completos de conta digital , além de pagamentos nos pontos comerciais credenciados .;Instituto Banco da Periferia;ORG;;Maricá;ORG
Essa foi uma das principais constatações da pesquisa “Financiamento dos Pequenos Negócios 2018” , realizada entre os meses de junho e agosto pelo Sebrae e apresentada na abertura do Fórum de Cidadania Financeira , em Brasília (DF) .;Sebrae;ORG;;Brasília;PLC
De acordo com nota enviada à imprensa , o presidente do Sebrae , Guilherme Afif Domingos disse que as altas taxas de juros , a burocracia e o excesso de exigências para tomar um empréstimo são como espantalhos que afugentam as pequenas empresas e impedem que elas busquem os recursos necessários para alavancar o negócio .;Sebrae;ORG;;Guilherme Afif Domingos;PER
Flávio Pripas não é mais o responsável pelo Cubo , a iniciativa de fomento a startups do Itaú Unibanco .;Itaú Unibanco;ORG;;Flávio Pripas;PER
O executivo , que esteve à frente da operação desde seu nascimento , em 2015 , passará a responder pela área de corporate venture do fundo Redpoint eventures , fundo de investimento que fundou o Cubo junto com Itaú;Redpoint;ORG;fundo de investimento que  fundou;Cubo;ORG
O executivo , que esteve à frente da operação desde seu nascimento , em 2015 , passará a responder pela área de corporate venture do fundo Redpoint eventures , fundo de investimento que fundou o Cubo junto com Itaú;Redpoint;ORG;;Itaú;ORG
O executivo , que esteve à frente da operação desde seu nascimento , em 2015 , passará a responder pela área de corporate venture do fundo Redpoint eventures , fundo de investimento que fundou o Cubo junto com Itaú;Cubo;ORG;junto com;Itaú;ORG
A TrustHub , fintech do grupo SRM e que também tem uma gestora especializada em fundos de recebíveis , fechou acordo com o Grupo Ipiranga , para antecipação de recebíveis de seus clientes corporativos .;TrustHub;ORG;fintech de;SRM;ORG
A TrustHub , fintech do grupo SRM e que também tem uma gestora especializada em fundos de recebíveis , fechou acordo com o Grupo Ipiranga , para antecipação de recebíveis de seus clientes corporativos .;TrustHub;ORG;fechou acordo com;Grupo Ipiranga;ORG
A TrustHub , fintech do grupo SRM e que também tem uma gestora especializada em fundos de recebíveis , fechou acordo com o Grupo Ipiranga , para antecipação de recebíveis de seus clientes corporativos .;SRM;ORG;;Grupo Ipiranga;ORG
A TrustHub está perto de fechar a contratação do Parcele Mais com outras três grandes empresas que possuem marketplace para negócios B2B (Buine s to business) , uma delas líder do setor farmacêutico de São Paulo e uma multinacional de produtos de limpeza .;TrustHub;ORG;;B2B;ORG
A TrustHub está perto de fechar a contratação do Parcele Mais com outras três grandes empresas que possuem marketplace para negócios B2B (Buine s to business) , uma delas líder do setor farmacêutico de São Paulo e uma multinacional de produtos de limpeza .;TrustHub;ORG;;São Paulo;PLC
A TrustHub está perto de fechar a contratação do Parcele Mais com outras três grandes empresas que possuem marketplace para negócios B2B (Buine s to business) , uma delas líder do setor farmacêutico de São Paulo e uma multinacional de produtos de limpeza .;B2B;ORG;;São Paulo;PLC
O Banco Inter não é aceito por algumas empresas como o Google Adsense , Skrill e Neteller .;Banco Inter;ORG;não é aceito por algumas empresas como;Google Adsense;ORG
O Banco Inter não é aceito por algumas empresas como o Google Adsense , Skrill e Neteller .;Banco Inter;ORG;não é aceito por algumas empresas como;Skrill;ORG
O Banco Inter não é aceito por algumas empresas como o Google Adsense , Skrill e Neteller .;Banco Inter;ORG;não é aceito por algumas empresas como;Neteller;ORG
O Banco Inter não é aceito por algumas empresas como o Google Adsense , Skrill e Neteller .;Google Adsense;ORG;;Skrill;ORG
O Banco Inter não é aceito por algumas empresas como o Google Adsense , Skrill e Neteller .;Google Adsense;ORG;;Neteller;ORG
O Banco Inter não é aceito por algumas empresas como o Google Adsense , Skrill e Neteller .;Skrill;ORG;;Neteller;ORG
A fintech Neon Pagamentos lançou nesta quinta-feira (22 ) uma conta digital voltada para os microempreendedores individuais (MEIs ) e pequenas empresas .;Neon Pagamentos;ORG;lançou nesta quinta-feira (22) uma conta digital voltada para;(MEIs;ORG
Fernando Montanari , diretor de Negócios da Neon Pagamentos afirma , em nota , que tudo na conta é feito “de forma muito intuitiva” .;Neon Pagamentos;ORG;diretor de Negócios de;Fernando Montanari;PER
A TrustHub , fintech do grupo SRM e que também tem uma gestora especializada em fundos de recebíveis , fechou acordo com o Grupo Ipiranga , para antecipação de recebíveis de seus clientes corporativos .;TrustHub;ORG;fintech do grupo;SRM;ORG
A TrustHub , fintech do grupo SRM e que também tem uma gestora especializada em fundos de recebíveis , fechou acordo com o Grupo Ipiranga , para antecipação de recebíveis de seus clientes corporativos .;TrustHub;ORG;fechou acordo com;Grupo Ipiranga;ORG
A TrustHub , fintech do grupo SRM e que também tem uma gestora especializada em fundos de recebíveis , fechou acordo com o Grupo Ipiranga , para antecipação de recebíveis de seus clientes corporativos .;SRM;ORG;;Grupo Ipiranga;ORG
A TrustHub está perto de fechar a contratação do Parcele Mais com outras três grandes empresas que possuem marketplace para negócios B2B (Buine s to business) , uma delas líder do setor farmacêutico de São Paulo e uma multinacional de produtos de limpeza .;TrustHub;ORG;;B2B;ORG
A TrustHub está perto de fechar a contratação do Parcele Mais com outras três grandes empresas que possuem marketplace para negócios B2B (Buine s to business) , uma delas líder do setor farmacêutico de São Paulo e uma multinacional de produtos de limpeza .;TrustHub;ORG;;São Paulo;PLC
A TrustHub está perto de fechar a contratação do Parcele Mais com outras três grandes empresas que possuem marketplace para negócios B2B (Buine s to business) , uma delas líder do setor farmacêutico de São Paulo e uma multinacional de produtos de limpeza .;B2B;ORG;;São Paulo;PLC
Nesta modalidade de seguros , o cliente pagará uma assinatura mensal somada a um valor variável conforme a utilização de seu veículo São Paulo , dezembro de 2018 – A Thinkseg , primeira insurtech totalmente digital do Brasil e recentemente nomeada uma das mais inovadoras do mundo pela Fintech Global , acaba de fechar parceria exclusiva com seguradora internacional , uma das 10 maiores do mercado mundial com base em sua receita e lucros .;Thinkseg;ORG;;São Paulo;PLC
